Education_Level,Income_Category,Months_on_book
Uneducated,Unknown,35
High School,Less than $40K,36
Unknown,$80K - $120K,36
Graduate,$80K - $120K,42
Post-Graduate,$60K - $80K,42
Graduate,Less than $40K,36
Uneducated,Less than $40K,31
High School,$120K +,30
High School,Less than $40K,35
Graduate,Unknown,36
College,Unknown,36
College,Less than $40K,36
Graduate,Unknown,16
Doctorate,Less than $40K,24
Unknown,$60K - $80K,33
College,$40K - $60K,27
Graduate,$80K - $120K,36
Graduate,Less than $40K,30
College,$40K - $60K,28
Unknown,$80K - $120K,34
College,$80K - $120K,32
Graduate,Less than $40K,26
Unknown,$40K - $60K,26
Unknown,$60K - $80K,32
Graduate,$80K - $120K,39
High School,$80K - $120K,19
High School,$60K - $80K,25
Graduate,Less than $40K,40
Unknown,Unknown,36
Unknown,Less than $40K,36
Graduate,Less than $40K,43
High School,Less than $40K,33
Unknown,$60K - $80K,43
Graduate,Less than $40K,27
Unknown,Less than $40K,36
High School,Less than $40K,38
High School,Less than $40K,36
Graduate,$60K - $80K,31
Graduate,$60K - $80K,42
Graduate,$40K - $60K,37
Post-Graduate,$40K - $60K,31
Unknown,Less than $40K,33
High School,$80K - $120K,40
Uneducated,$120K +,24
High School,$80K - $120K,36
Doctorate,$120K +,39
Uneducated,$120K +,36
High School,$40K - $60K,36
College,Less than $40K,41
High School,Less than $40K,33
College,Less than $40K,36
Unknown,$40K - $60K,27
Graduate,Less than $40K,38
Graduate,$60K - $80K,31
High School,$120K +,30
Graduate,$40K - $60K,23
Graduate,Less than $40K,38
Graduate,$120K +,38
Doctorate,Less than $40K,29
College,$60K - $80K,35
Post-Graduate,$80K - $120K,38
Graduate,Unknown,36
Graduate,$120K +,36
High School,$120K +,36
Uneducated,$120K +,36
Unknown,Less than $40K,34
High School,$80K - $120K,34
Graduate,Less than $40K,29
Uneducated,$120K +,33
Graduate,$120K +,34
Graduate,$80K - $120K,29
Unknown,$40K - $60K,33
Uneducated,Less than $40K,37
Graduate,$120K +,42
Graduate,$120K +,32
Doctorate,$40K - $60K,36
Unknown,$80K - $120K,45
Post-Graduate,$80K - $120K,36
College,Less than $40K,32
Graduate,$80K - $120K,36
Uneducated,$60K - $80K,30
High School,$80K - $120K,39
Graduate,$80K - $120K,35
High School,Unknown,36
Graduate,$60K - $80K,45
College,$120K +,26
Graduate,$120K +,36
Graduate,$40K - $60K,35
Uneducated,$80K - $120K,36
Unknown,$60K - $80K,30
Graduate,$60K - $80K,34
Unknown,$40K - $60K,36
Graduate,Less than $40K,36
Post-Graduate,$60K - $80K,36
Uneducated,Unknown,33
Unknown,$40K - $60K,34
Uneducated,$120K +,29
Unknown,$40K - $60K,36
Graduate,$60K - $80K,35
High School,$80K - $120K,31
High School,$60K - $80K,32
College,$40K - $60K,31
Post-Graduate,$40K - $60K,28
College,$80K - $120K,34
Graduate,Less than $40K,43
College,Less than $40K,34
Unknown,$60K - $80K,45
High School,$40K - $60K,35
Uneducated,Less than $40K,36
Graduate,Unknown,36
High School,$40K - $60K,32
Post-Graduate,$60K - $80K,27
Graduate,Less than $40K,30
Doctorate,Less than $40K,40
Unknown,$40K - $60K,36
Post-Graduate,$80K - $120K,38
College,$120K +,40
Uneducated,$60K - $80K,32
Graduate,$80K - $120K,45
College,$80K - $120K,40
High School,Less than $40K,35
College,$60K - $80K,37
High School,$40K - $60K,42
Unknown,Less than $40K,30
Unknown,$80K - $120K,36
Post-Graduate,$120K +,26
Graduate,$80K - $120K,36
Graduate,$60K - $80K,36
Uneducated,$80K - $120K,22
High School,$120K +,42
Uneducated,$40K - $60K,40
Unknown,$80K - $120K,38
College,$40K - $60K,32
College,$60K - $80K,42
Graduate,Less than $40K,31
Graduate,Less than $40K,37
Graduate,$80K - $120K,36
Uneducated,$60K - $80K,35
Graduate,$80K - $120K,36
College,Less than $40K,32
Graduate,$60K - $80K,37
Graduate,Less than $40K,36
Uneducated,$80K - $120K,36
High School,$60K - $80K,36
Unknown,Less than $40K,33
High School,Unknown,26
Graduate,$60K - $80K,24
Graduate,$80K - $120K,30
Unknown,Less than $40K,30
Uneducated,$40K - $60K,27
Graduate,Less than $40K,17
Graduate,$120K +,42
Unknown,$60K - $80K,36
Unknown,Less than $40K,39
High School,Unknown,40
Unknown,Less than $40K,30
High School,Less than $40K,30
Uneducated,Less than $40K,34
Graduate,$80K - $120K,35
College,Less than $40K,32
College,$40K - $60K,32
Graduate,Less than $40K,38
Uneducated,$120K +,38
High School,$80K - $120K,36
Post-Graduate,$40K - $60K,36
Graduate,$40K - $60K,36
Graduate,$80K - $120K,40
Uneducated,$40K - $60K,43
Unknown,$120K +,36
Graduate,Less than $40K,40
High School,$40K - $60K,26
Doctorate,$40K - $60K,30
Uneducated,$40K - $60K,37
High School,$60K - $80K,39
Graduate,$60K - $80K,37
Graduate,$80K - $120K,40
Graduate,$40K - $60K,42
Graduate,$120K +,29
College,$40K - $60K,41
Uneducated,$80K - $120K,41
Doctorate,$120K +,36
Graduate,Less than $40K,39
Uneducated,Less than $40K,36
Post-Graduate,$80K - $120K,36
Uneducated,Less than $40K,36
Unknown,$80K - $120K,35
Unknown,$80K - $120K,32
High School,$80K - $120K,27
High School,$60K - $80K,18
High School,$80K - $120K,28
Post-Graduate,$60K - $80K,34
High School,$60K - $80K,28
Post-Graduate,$60K - $80K,34
Graduate,$60K - $80K,37
Unknown,$80K - $120K,38
Unknown,$60K - $80K,36
College,$40K - $60K,36
Graduate,Less than $40K,32
Unknown,$60K - $80K,39
Graduate,$40K - $60K,25
Unknown,$60K - $80K,26
High School,$60K - $80K,37
Unknown,$80K - $120K,33
Uneducated,$40K - $60K,39
Uneducated,$60K - $80K,35
Unknown,Less than $40K,35
High School,$60K - $80K,36
Uneducated,$40K - $60K,40
College,$40K - $60K,41
Unknown,$40K - $60K,36
Uneducated,$40K - $60K,40
Graduate,Less than $40K,32
High School,$40K - $60K,34
High School,$120K +,39
Unknown,$40K - $60K,29
College,$60K - $80K,35
Graduate,$80K - $120K,38
Unknown,Less than $40K,34
College,$80K - $120K,39
Uneducated,$80K - $120K,31
Graduate,$40K - $60K,37
High School,Less than $40K,37
Unknown,Less than $40K,31
Graduate,$40K - $60K,35
Unknown,$80K - $120K,39
Uneducated,Less than $40K,23
Graduate,$80K - $120K,32
Unknown,Unknown,21
Uneducated,$80K - $120K,36
Unknown,$40K - $60K,39
Graduate,$60K - $80K,31
Graduate,$60K - $80K,29
Uneducated,Unknown,35
Graduate,$40K - $60K,36
Graduate,$40K - $60K,38
Unknown,Less than $40K,42
Unknown,$40K - $60K,43
High School,$40K - $60K,37
High School,$40K - $60K,33
Graduate,Less than $40K,31
Graduate,$80K - $120K,37
High School,$60K - $80K,16
Post-Graduate,Less than $40K,27
Unknown,Less than $40K,37
Uneducated,Unknown,34
Unknown,$80K - $120K,22
Uneducated,Less than $40K,30
Graduate,$80K - $120K,29
Graduate,$40K - $60K,29
Unknown,Unknown,42
High School,$40K - $60K,36
Graduate,Less than $40K,31
College,$60K - $80K,26
Graduate,$60K - $80K,28
High School,$60K - $80K,36
Unknown,$60K - $80K,34
Unknown,Less than $40K,44
High School,$40K - $60K,36
Graduate,Less than $40K,33
Graduate,$40K - $60K,36
High School,Less than $40K,41
Graduate,$80K - $120K,33
Graduate,$120K +,37
Graduate,Unknown,43
High School,Less than $40K,36
Uneducated,$120K +,36
Graduate,Less than $40K,32
High School,$60K - $80K,29
Unknown,Less than $40K,41
Unknown,Less than $40K,20
Graduate,Less than $40K,30
Graduate,Less than $40K,41
Uneducated,$60K - $80K,38
Uneducated,$40K - $60K,28
High School,$80K - $120K,25
Uneducated,$80K - $120K,36
High School,$40K - $60K,27
Doctorate,$60K - $80K,31
Uneducated,Unknown,32
Doctorate,$40K - $60K,36
Graduate,$40K - $60K,29
Graduate,Less than $40K,37
Graduate,$40K - $60K,36
High School,$40K - $60K,36
Unknown,$60K - $80K,35
Unknown,$120K +,39
Unknown,$40K - $60K,36
Graduate,$60K - $80K,28
Uneducated,$80K - $120K,36
Uneducated,Less than $40K,22
High School,Less than $40K,36
Uneducated,Less than $40K,45
Graduate,$80K - $120K,36
Graduate,Less than $40K,37
High School,$80K - $120K,26
Graduate,$40K - $60K,32
High School,$40K - $60K,36
Unknown,Less than $40K,36
Graduate,$60K - $80K,28
Unknown,$40K - $60K,36
Uneducated,$60K - $80K,36
Graduate,Unknown,34
College,$80K - $120K,41
Graduate,$120K +,36
Graduate,$60K - $80K,41
Graduate,Less than $40K,36
High School,Less than $40K,36
College,$120K +,36
High School,$80K - $120K,36
Uneducated,Less than $40K,27
Uneducated,$120K +,38
Unknown,$60K - $80K,20
Graduate,$80K - $120K,29
Graduate,Less than $40K,32
Graduate,Less than $40K,21
Uneducated,$80K - $120K,34
Uneducated,Less than $40K,20
Graduate,Less than $40K,38
College,Less than $40K,39
Graduate,$60K - $80K,39
Graduate,Less than $40K,30
Unknown,Less than $40K,23
Graduate,$60K - $80K,36
High School,Unknown,40
Graduate,$80K - $120K,36
Graduate,$60K - $80K,38
Post-Graduate,$40K - $60K,36
Unknown,$40K - $60K,19
Unknown,$40K - $60K,36
Doctorate,$40K - $60K,33
Uneducated,$80K - $120K,36
Unknown,$40K - $60K,36
Uneducated,Less than $40K,32
Post-Graduate,$120K +,41
Unknown,Less than $40K,22
Unknown,Less than $40K,36
Graduate,$40K - $60K,35
High School,Unknown,31
Graduate,Unknown,36
Unknown,Less than $40K,19
College,Less than $40K,36
Graduate,Less than $40K,44
Post-Graduate,Less than $40K,21
High School,$40K - $60K,27
Graduate,$40K - $60K,36
Graduate,$60K - $80K,23
High School,Unknown,30
Uneducated,Less than $40K,26
Unknown,Unknown,34
Graduate,$40K - $60K,40
Unknown,$80K - $120K,28
Uneducated,Less than $40K,36
Uneducated,$80K - $120K,36
Graduate,$40K - $60K,40
High School,$60K - $80K,24
Unknown,$120K +,35
High School,$40K - $60K,36
Graduate,$80K - $120K,31
Unknown,$80K - $120K,44
Post-Graduate,$60K - $80K,36
Graduate,$40K - $60K,27
Uneducated,Less than $40K,36
College,$60K - $80K,31
College,$80K - $120K,19
Graduate,$40K - $60K,41
High School,$80K - $120K,36
Graduate,Less than $40K,30
Unknown,$40K - $60K,20
Uneducated,$120K +,36
Uneducated,$40K - $60K,34
College,Less than $40K,40
Graduate,$120K +,39
Unknown,$60K - $80K,24
Graduate,$60K - $80K,37
Graduate,$60K - $80K,15
Unknown,Less than $40K,36
Unknown,$40K - $60K,36
Post-Graduate,$60K - $80K,39
Graduate,$80K - $120K,39
Graduate,$120K +,22
Unknown,Less than $40K,40
Unknown,$120K +,33
College,$60K - $80K,34
Uneducated,$60K - $80K,36
College,$60K - $80K,24
High School,$120K +,31
Graduate,Less than $40K,36
Graduate,$80K - $120K,36
Uneducated,Less than $40K,35
Unknown,$80K - $120K,42
Post-Graduate,$60K - $80K,15
High School,$120K +,27
Graduate,Less than $40K,36
Graduate,Less than $40K,26
High School,Less than $40K,36
High School,Less than $40K,34
Uneducated,$60K - $80K,44
College,$40K - $60K,23
College,$60K - $80K,25
High School,$80K - $120K,36
Graduate,Less than $40K,36
Graduate,$80K - $120K,22
Graduate,$40K - $60K,42
Graduate,$80K - $120K,36
High School,Less than $40K,36
Graduate,Less than $40K,18
High School,$80K - $120K,36
Graduate,Unknown,35
Unknown,Less than $40K,27
High School,$40K - $60K,32
Unknown,Less than $40K,42
Graduate,$120K +,36
High School,Less than $40K,41
Graduate,$80K - $120K,36
Unknown,$60K - $80K,29
College,Less than $40K,20
Uneducated,$80K - $120K,24
Uneducated,$60K - $80K,35
Post-Graduate,$80K - $120K,36
Uneducated,Less than $40K,28
Unknown,Less than $40K,36
High School,$40K - $60K,36
Uneducated,$80K - $120K,32
Graduate,$120K +,35
Doctorate,Less than $40K,36
College,Less than $40K,36
High School,$120K +,36
Graduate,$80K - $120K,36
Unknown,Less than $40K,36
Post-Graduate,$80K - $120K,26
Graduate,$60K - $80K,33
Graduate,$80K - $120K,20
High School,Unknown,26
Uneducated,$60K - $80K,36
Graduate,Less than $40K,40
High School,$60K - $80K,36
Unknown,$60K - $80K,37
Post-Graduate,$60K - $80K,24
Post-Graduate,$40K - $60K,14
High School,$60K - $80K,36
Post-Graduate,$80K - $120K,24
College,$40K - $60K,31
Uneducated,$60K - $80K,30
Uneducated,$40K - $60K,22
Graduate,$40K - $60K,37
Graduate,$80K - $120K,28
Unknown,$60K - $80K,36
College,$80K - $120K,33
Uneducated,$40K - $60K,33
Graduate,$60K - $80K,36
Graduate,$120K +,34
Graduate,$60K - $80K,37
Doctorate,$80K - $120K,27
High School,$120K +,36
Uneducated,$40K - $60K,34
Post-Graduate,Less than $40K,28
College,$40K - $60K,30
Unknown,$60K - $80K,34
Unknown,$60K - $80K,36
Doctorate,$60K - $80K,36
High School,$80K - $120K,35
High School,$40K - $60K,26
High School,$80K - $120K,33
College,$80K - $120K,28
Unknown,Less than $40K,36
Graduate,$80K - $120K,43
Graduate,$60K - $80K,36
Graduate,Less than $40K,23
Unknown,Unknown,39
Graduate,$60K - $80K,25
Unknown,$120K +,31
Post-Graduate,$40K - $60K,36
Graduate,$60K - $80K,24
Post-Graduate,$40K - $60K,36
College,$80K - $120K,29
Graduate,$80K - $120K,31
Graduate,Less than $40K,18
Uneducated,$80K - $120K,18
Graduate,Less than $40K,19
Graduate,$80K - $120K,36
High School,$80K - $120K,21
Unknown,$80K - $120K,40
Graduate,$80K - $120K,19
Doctorate,Less than $40K,35
Post-Graduate,$40K - $60K,37
Graduate,Less than $40K,13
Graduate,Less than $40K,36
High School,Less than $40K,24
Unknown,$40K - $60K,36
Uneducated,$80K - $120K,36
Uneducated,$40K - $60K,36
Graduate,$80K - $120K,43
Unknown,$60K - $80K,36
Doctorate,Less than $40K,36
High School,$60K - $80K,24
Unknown,Unknown,31
Uneducated,$60K - $80K,39
Graduate,$40K - $60K,32
Graduate,$40K - $60K,34
Graduate,Less than $40K,19
Uneducated,$120K +,32
Uneducated,$40K - $60K,23
Post-Graduate,Less than $40K,28
Graduate,$40K - $60K,24
Graduate,$80K - $120K,36
Graduate,Less than $40K,37
Graduate,$80K - $120K,36
High School,Less than $40K,25
Graduate,Less than $40K,36
Graduate,Less than $40K,24
High School,$40K - $60K,32
Unknown,$80K - $120K,37
Uneducated,$80K - $120K,15
Graduate,Less than $40K,38
Post-Graduate,Less than $40K,14
Graduate,$40K - $60K,40
High School,$60K - $80K,31
Graduate,$40K - $60K,36
College,Less than $40K,36
Graduate,$40K - $60K,36
Graduate,$60K - $80K,29
High School,Less than $40K,30
Uneducated,$80K - $120K,33
High School,$80K - $120K,34
Post-Graduate,$40K - $60K,30
Graduate,Less than $40K,21
High School,Less than $40K,37
College,Less than $40K,28
High School,$80K - $120K,30
High School,$40K - $60K,25
Graduate,Unknown,45
Graduate,$80K - $120K,36
Unknown,$80K - $120K,26
Unknown,Less than $40K,38
Unknown,$40K - $60K,42
Graduate,$80K - $120K,34
Graduate,$80K - $120K,32
Unknown,Less than $40K,36
Graduate,$60K - $80K,36
Uneducated,$40K - $60K,39
Graduate,Unknown,42
Uneducated,$80K - $120K,30
Graduate,$80K - $120K,36
Uneducated,$80K - $120K,36
Post-Graduate,Less than $40K,36
Graduate,$60K - $80K,36
Uneducated,Less than $40K,36
Uneducated,$80K - $120K,35
Graduate,Less than $40K,39
High School,Less than $40K,36
College,$80K - $120K,39
Unknown,$120K +,36
Uneducated,$80K - $120K,20
High School,$80K - $120K,31
Unknown,$40K - $60K,41
High School,Unknown,40
Unknown,Unknown,21
College,$80K - $120K,36
Uneducated,$60K - $80K,27
Graduate,$60K - $80K,33
Uneducated,$120K +,38
Unknown,$80K - $120K,18
Graduate,Unknown,36
High School,$40K - $60K,19
Graduate,$40K - $60K,38
Unknown,Less than $40K,24
Graduate,$80K - $120K,31
Uneducated,$120K +,28
Post-Graduate,Less than $40K,36
Graduate,$80K - $120K,32
Graduate,$60K - $80K,38
High School,$80K - $120K,36
Doctorate,Unknown,28
Graduate,Unknown,40
High School,Unknown,21
Unknown,Less than $40K,34
Uneducated,Unknown,36
Post-Graduate,$40K - $60K,28
Uneducated,$80K - $120K,36
High School,$60K - $80K,35
Unknown,$80K - $120K,28
College,$60K - $80K,36
High School,Less than $40K,31
Doctorate,$60K - $80K,31
Uneducated,$60K - $80K,30
College,$60K - $80K,35
Graduate,Less than $40K,26
Uneducated,$40K - $60K,28
Graduate,Less than $40K,23
High School,$40K - $60K,40
Graduate,$40K - $60K,21
Uneducated,$120K +,23
Post-Graduate,Less than $40K,36
Graduate,$80K - $120K,39
Uneducated,Less than $40K,13
Post-Graduate,$60K - $80K,36
Uneducated,Less than $40K,36
Graduate,$60K - $80K,36
High School,$120K +,36
High School,Unknown,15
Graduate,$40K - $60K,36
Uneducated,$80K - $120K,39
Unknown,$40K - $60K,16
Unknown,Less than $40K,37
College,Less than $40K,19
Post-Graduate,$80K - $120K,28
Uneducated,$60K - $80K,36
Uneducated,Unknown,33
High School,$80K - $120K,29
High School,$120K +,41
Uneducated,$40K - $60K,27
Graduate,$80K - $120K,40
College,$60K - $80K,36
Post-Graduate,Less than $40K,33
Graduate,$60K - $80K,24
Graduate,Less than $40K,36
Graduate,Less than $40K,36
College,Less than $40K,36
High School,Unknown,30
Unknown,$80K - $120K,39
High School,$60K - $80K,16
College,$60K - $80K,39
Unknown,$120K +,37
Graduate,Unknown,36
College,$60K - $80K,36
High School,$60K - $80K,41
Graduate,Less than $40K,36
Unknown,Less than $40K,37
College,$80K - $120K,36
Doctorate,Less than $40K,27
Uneducated,Unknown,29
Post-Graduate,$120K +,38
Graduate,$40K - $60K,20
Graduate,$40K - $60K,27
Unknown,Less than $40K,31
Graduate,$60K - $80K,25
Uneducated,$40K - $60K,18
College,$60K - $80K,34
High School,Unknown,42
College,$60K - $80K,24
High School,Less than $40K,31
Unknown,Unknown,25
Post-Graduate,Unknown,36
Uneducated,Less than $40K,37
Graduate,Less than $40K,38
Graduate,$60K - $80K,24
Graduate,$80K - $120K,36
Graduate,$60K - $80K,30
Graduate,Less than $40K,38
Uneducated,$80K - $120K,37
Uneducated,Less than $40K,44
Unknown,Less than $40K,36
Doctorate,$60K - $80K,34
High School,Less than $40K,36
Post-Graduate,$60K - $80K,31
Post-Graduate,$80K - $120K,42
Uneducated,$120K +,19
Graduate,Unknown,36
Graduate,Less than $40K,27
Uneducated,$40K - $60K,36
Uneducated,Less than $40K,34
High School,$40K - $60K,19
Graduate,Less than $40K,28
Unknown,Less than $40K,37
Uneducated,$60K - $80K,18
College,$80K - $120K,36
Doctorate,$80K - $120K,29
Post-Graduate,Less than $40K,37
Uneducated,$120K +,17
Graduate,$120K +,28
High School,Unknown,36
Graduate,$80K - $120K,19
Uneducated,Less than $40K,33
Uneducated,Less than $40K,29
Uneducated,$80K - $120K,36
High School,Less than $40K,16
Graduate,$40K - $60K,36
Graduate,Less than $40K,38
Graduate,Less than $40K,35
Graduate,$80K - $120K,38
Graduate,Less than $40K,34
Graduate,$40K - $60K,38
Unknown,Less than $40K,24
High School,Less than $40K,36
Uneducated,Unknown,36
Post-Graduate,$60K - $80K,25
Graduate,$80K - $120K,43
Uneducated,$80K - $120K,29
Graduate,$40K - $60K,34
Post-Graduate,Less than $40K,21
Uneducated,Less than $40K,44
Graduate,Less than $40K,36
Unknown,Less than $40K,25
Graduate,$80K - $120K,36
High School,$120K +,36
High School,$80K - $120K,26
Graduate,Less than $40K,36
Unknown,$80K - $120K,33
College,Unknown,24
Graduate,Unknown,36
College,$80K - $120K,44
Graduate,$120K +,22
High School,Less than $40K,32
High School,$120K +,31
High School,Less than $40K,36
Unknown,Less than $40K,13
Unknown,Less than $40K,13
Uneducated,$120K +,36
Doctorate,Less than $40K,30
Uneducated,$120K +,37
Unknown,Less than $40K,22
College,$40K - $60K,36
Post-Graduate,Less than $40K,36
College,$60K - $80K,44
Graduate,$40K - $60K,32
Unknown,$40K - $60K,36
High School,$60K - $80K,38
High School,Less than $40K,40
Unknown,$40K - $60K,18
Uneducated,$120K +,21
Graduate,$80K - $120K,31
Graduate,$120K +,41
Uneducated,Less than $40K,24
Unknown,$40K - $60K,23
College,$40K - $60K,37
Graduate,$80K - $120K,24
Unknown,$80K - $120K,31
Graduate,$80K - $120K,21
Graduate,Less than $40K,23
Post-Graduate,$40K - $60K,28
Post-Graduate,$120K +,36
Graduate,$40K - $60K,28
College,$80K - $120K,22
Unknown,Less than $40K,36
Graduate,$80K - $120K,17
Post-Graduate,Unknown,13
Graduate,Less than $40K,44
High School,$80K - $120K,13
High School,Less than $40K,36
High School,$40K - $60K,36
Post-Graduate,$40K - $60K,31
College,Less than $40K,33
Uneducated,Less than $40K,19
Graduate,$60K - $80K,35
Graduate,$60K - $80K,31
Graduate,Unknown,42
Doctorate,Less than $40K,38
College,$40K - $60K,30
High School,Less than $40K,36
Graduate,$80K - $120K,40
Unknown,$80K - $120K,36
Graduate,Unknown,15
High School,$60K - $80K,31
Graduate,$120K +,41
High School,Less than $40K,21
Uneducated,Less than $40K,21
Uneducated,$40K - $60K,39
Graduate,$40K - $60K,23
High School,$120K +,36
High School,$60K - $80K,17
Uneducated,$60K - $80K,37
Post-Graduate,$60K - $80K,36
Graduate,$40K - $60K,26
Unknown,$120K +,31
Doctorate,Unknown,30
Graduate,Less than $40K,36
Graduate,Less than $40K,24
High School,$80K - $120K,39
Graduate,$40K - $60K,23
College,Less than $40K,40
Doctorate,$60K - $80K,36
Graduate,$40K - $60K,30
College,$80K - $120K,31
Graduate,$40K - $60K,34
Post-Graduate,Less than $40K,30
High School,$40K - $60K,30
High School,$60K - $80K,34
High School,$60K - $80K,30
College,$40K - $60K,36
High School,$60K - $80K,32
College,$80K - $120K,31
High School,Unknown,34
Uneducated,$40K - $60K,20
Uneducated,$80K - $120K,31
High School,$80K - $120K,36
Uneducated,$80K - $120K,25
Graduate,Less than $40K,28
Unknown,$40K - $60K,36
Post-Graduate,$40K - $60K,37
Graduate,Less than $40K,21
Graduate,Unknown,27
Unknown,Unknown,36
Unknown,$40K - $60K,15
College,$40K - $60K,40
High School,Less than $40K,36
Graduate,Less than $40K,13
Post-Graduate,$120K +,35
Unknown,$80K - $120K,26
High School,$80K - $120K,29
Unknown,Less than $40K,36
Graduate,$80K - $120K,36
Unknown,$80K - $120K,36
Graduate,$60K - $80K,36
High School,$80K - $120K,36
Uneducated,Less than $40K,36
Graduate,$60K - $80K,33
Graduate,Less than $40K,13
Uneducated,Unknown,36
Unknown,$60K - $80K,20
Graduate,$80K - $120K,25
Graduate,$60K - $80K,34
Unknown,$80K - $120K,39
High School,$80K - $120K,40
Unknown,Less than $40K,45
College,Unknown,31
Graduate,$60K - $80K,17
Uneducated,$40K - $60K,36
Graduate,$40K - $60K,19
Uneducated,$60K - $80K,13
Graduate,Less than $40K,31
Doctorate,$120K +,34
High School,Less than $40K,36
Graduate,$60K - $80K,13
College,$40K - $60K,36
Graduate,Less than $40K,28
Unknown,$60K - $80K,31
Post-Graduate,$80K - $120K,32
Graduate,Less than $40K,36
Unknown,$120K +,36
High School,$80K - $120K,43
Uneducated,$40K - $60K,34
High School,Less than $40K,23
Uneducated,$120K +,36
Unknown,Unknown,34
Uneducated,$40K - $60K,36
Uneducated,$80K - $120K,34
Graduate,$80K - $120K,31
Uneducated,$40K - $60K,35
Unknown,Unknown,43
Graduate,$40K - $60K,38
Graduate,Less than $40K,36
Uneducated,Less than $40K,34
Uneducated,$60K - $80K,19
High School,$60K - $80K,36
Unknown,$60K - $80K,36
Unknown,$120K +,36
Graduate,Unknown,30
Graduate,$120K +,33
High School,Less than $40K,36
College,$40K - $60K,29
Post-Graduate,$40K - $60K,36
Uneducated,$80K - $120K,25
Uneducated,Less than $40K,30
Doctorate,Less than $40K,39
Post-Graduate,$40K - $60K,28
Unknown,Less than $40K,44
Unknown,Less than $40K,18
High School,$60K - $80K,33
Doctorate,Less than $40K,36
High School,Unknown,22
High School,$80K - $120K,41
Unknown,$40K - $60K,37
College,$60K - $80K,32
High School,$120K +,34
Doctorate,$80K - $120K,27
Uneducated,Less than $40K,35
High School,$60K - $80K,42
College,Less than $40K,19
Doctorate,Unknown,36
College,$40K - $60K,20
Unknown,$60K - $80K,32
High School,Less than $40K,23
Graduate,$120K +,36
Graduate,$60K - $80K,28
Unknown,$120K +,36
Graduate,Less than $40K,20
Graduate,Less than $40K,30
High School,$60K - $80K,36
Uneducated,$80K - $120K,30
High School,$80K - $120K,40
College,Unknown,36
High School,$40K - $60K,36
High School,$40K - $60K,40
Graduate,Less than $40K,30
Doctorate,$80K - $120K,33
High School,Unknown,34
Graduate,Unknown,18
Graduate,$60K - $80K,34
Unknown,Less than $40K,39
High School,$120K +,42
Graduate,Less than $40K,37
Graduate,Less than $40K,34
Graduate,Less than $40K,16
Graduate,$40K - $60K,36
High School,Less than $40K,40
High School,Less than $40K,32
Graduate,Less than $40K,36
Graduate,$60K - $80K,32
Unknown,$120K +,36
Doctorate,Unknown,36
College,$60K - $80K,16
Doctorate,Less than $40K,33
Graduate,$60K - $80K,38
College,$80K - $120K,44
Uneducated,$120K +,30
High School,$60K - $80K,31
Post-Graduate,$40K - $60K,24
Uneducated,$40K - $60K,36
Doctorate,Less than $40K,15
Graduate,Less than $40K,36
Uneducated,Less than $40K,33
Uneducated,$120K +,40
Graduate,$80K - $120K,35
Graduate,$40K - $60K,36
High School,Less than $40K,31
College,$40K - $60K,17
High School,Less than $40K,31
High School,$60K - $80K,25
Uneducated,$40K - $60K,36
Uneducated,Less than $40K,36
Graduate,Less than $40K,14
High School,$80K - $120K,40
Unknown,$40K - $60K,29
Doctorate,$80K - $120K,33
High School,$60K - $80K,40
Graduate,$80K - $120K,36
Graduate,$40K - $60K,36
High School,$60K - $80K,36
Graduate,$60K - $80K,36
High School,Less than $40K,30
Graduate,$40K - $60K,40
Unknown,$40K - $60K,20
Uneducated,Unknown,23
Graduate,Less than $40K,34
Uneducated,$120K +,38
High School,$80K - $120K,39
Graduate,$40K - $60K,35
Graduate,$60K - $80K,33
Unknown,$40K - $60K,22
Graduate,Unknown,25
High School,$60K - $80K,28
Unknown,$80K - $120K,33
High School,$40K - $60K,25
Graduate,$60K - $80K,36
Graduate,$40K - $60K,30
Uneducated,Less than $40K,36
Graduate,$80K - $120K,39
High School,Less than $40K,35
Graduate,$60K - $80K,40
College,$120K +,20
High School,$60K - $80K,36
Graduate,Less than $40K,15
Uneducated,$40K - $60K,36
College,$80K - $120K,36
Unknown,$80K - $120K,36
Graduate,$40K - $60K,40
Unknown,$40K - $60K,25
High School,Less than $40K,36
Graduate,$40K - $60K,36
Graduate,Less than $40K,25
